mes_proCodigoProvincia,mes_depCodigoDepartamento,mes_munCodigoMunicipio,mesCodigoCircuito,mesCodigoMesa,mesCodSexo,mesEstado,mesVotosValidos,mesVotosPositivos,mesVotosEnBlanco,mesVotosNulos,mesVotosRecurridos,mesVotosImpugnados,mesElectores,mesTotalVotantes,mesVotosEscrutar,mesVotosPreferencia
"20","001","003","0003 ","0041","X",1,248,193,55,2,0,0,299,245,,
"20","001","003","0003 ","0042","X",1,235,190,45,3,0,0,301,238,,
"20","001","003","0003 ","0043","X",1,242,182,60,1,0,0,299,243,,
"20","001","003","0003 ","0044","X",1,172,172,0,0,0,0,300,0,,
"20","001","003","0003 ","0045","X",1,172,117,55,4,0,0,300,0,,
"20","001","003","0003 ","0046","X",1,233,176,57,0,0,0,301,233,,
"20","001","003","0003 ","0047","X",1,242,176,66,4,0,0,301,246,,
"20","001","003","0003 ","0048","X",1,246,191,55,4,0,4,301,250,,
"20","001","003","0003 ","0049","X",1,241,185,56,4,0,0,304,245,,
"20","001","003","0003 ","0050","X",1,230,170,60,6,0,0,302,236,,
"20","001","003","0003 ","0051","X",1,252,180,72,1,0,0,302,254,,
"20","001","003","0003 ","0052","X",1,242,181,61,6,0,0,302,250,,
"20","001","003","0003 ","0053","X",1,238,182,56,7,0,0,301,245,,
"20","001","003","0003 ","0054","X",1,223,160,63,1,0,0,303,224,,
"20","001","003","0003 ","0055","X",1,241,167,74,3,0,0,300,244,,
"20","001","003","0003 ","0056","X",1,253,193,60,3,0,0,303,261,,
"20","001","003","0003 ","0057","X",1,236,168,68,3,0,0,300,239,,
"20","001","003","0003 ","0058","X",1,227,173,54,4,0,0,298,231,,
"20","001","003","0003 ","0059","X",1,240,183,57,1,0,0,300,241,,
"20","001","003","0003 ","0060","X",1,236,169,67,0,0,0,299,236,,
"20","001","003","0003 ","0061","X",1,228,167,61,3,0,0,301,231,,
"20","001","003","0003 ","0062","X",1,220,165,55,8,0,0,302,228,,
"20","001","003","0003 ","0063","X",1,161,159,2,0,0,1,302,238,,
"20","001","003","0003 ","0064","X",1,240,181,59,0,0,0,301,240,,
"20","001","003","0003 ","0065","X",1,240,172,68,0,0,0,300,240,,
"20","001","003","0003 ","0066","X",1,129,129,0,1,0,0,300,237,,
"20","001","003","0003 ","0067","X",1,247,178,69,3,1,0,301,0,,
"20","001","003","0003 ","0068","X",1,250,187,63,0,0,0,299,250,,
"20","001","003","0003 ","0069","X",1,223,166,57,0,0,0,300,223,,
"20","001","003","0003 ","0070","X",1,247,198,49,6,0,0,300,0,,
"20","001","003","0003 ","0071","X",1,224,179,45,8,0,0,300,0,,
"20","001","003","0003 ","0072","X",1,132,113,19,4,0,0,301,250,,
"20","001","003","0003 ","0073","X",1,241,174,67,1,0,0,302,242,,
"20","001","003","0003 ","0074","X",1,239,169,70,1,0,0,300,240,,
"20","001","003","0003 ","0075","X",1,234,175,59,9,0,0,301,243,,
"20","001","003","0003 ","0076","X",1,184,184,0,0,2,0,302,244,,
"20","001","003","0003 ","0077","X",1,228,181,47,5,0,0,301,236,,
"20","001","003","0003 ","0078","X",1,248,181,67,0,0,0,300,0,,
"20","001","003","0003 ","0079","X",1,144,144,0,0,0,0,302,0,,
"20","001","003","0003 ","0080","X",1,181,128,53,5,0,0,304,243,,
"20","001","003","0003 ","0081","X",1,226,154,72,3,0,0,301,229,,
"20","001","003","0003 ","0082","X",1,236,172,64,4,1,0,299,241,,
"20","001","003","0003 ","0083","X",1,241,183,58,4,0,0,301,245,,
"20","001","003","0003 ","0084","X",1,186,130,56,6,0,0,301,232,,
"20","001","003","0003 ","0085","X",1,219,176,43,0,0,0,301,219,,
"20","001","003","0003 ","0086","X",1,231,179,52,0,0,0,301,233,,
"20","001","003","0003 ","0087","X",1,217,174,43,1,0,0,302,218,,
"20","001","003","0003 ","0088","X",1,234,180,54,0,0,0,300,234,,
"20","001","003","0003 ","0089","X",1,184,184,0,1,1,0,298,240,,
"20","001","003","0003 ","0090","X",1,222,173,49,2,0,0,298,224,,
"20","001","003","0003 ","0091","X",1,102,68,34,2,0,0,300,248,,
"20","001","003","0003 ","0092","X",1,235,188,47,1,0,0,302,236,,
"20","001","003","0003 ","0093","X",1,104,104,0,0,0,0,307,0,,
"20","001","003","0003 ","0094","X",1,239,177,62,0,0,0,301,0,,
"20","001","003","0003 ","0095","X",4,284,157,127,5,0,0,300,225,,
"20","001","003","0003 ","0096","X",1,230,184,46,4,0,0,303,234,,
"20","001","003","0003 ","0097","X",1,229,179,50,2,0,0,302,231,,
"20","001","003","0003 ","0098","X",1,186,173,13,0,0,0,299,250,,
"20","001","003","0003 ","0099","X",1,222,151,71,10,0,0,304,235,,
"20","001","003","0003 ","0100","X",1,96,96,0,0,0,0,304,250,,
"20","001","003","0003 ","0101","X",1,250,192,58,0,0,0,300,250,,
"20","001","003","0003 ","0102","X",1,231,174,57,10,0,0,302,241,,
"20","001","003","0003 ","0103","X",1,230,163,67,5,0,0,299,0,,
"20","001","003","0003 ","0104","X",1,237,172,65,1,0,0,305,238,,
"20","001","003","0003 ","0105","X",1,234,187,47,1,0,0,301,238,,
"20","001","003","0003 ","0106","X",1,236,180,56,4,0,0,302,240,,
"20","001","003","0003 ","0107","X",1,159,159,0,0,0,0,302,235,,
"20","001","003","0003 ","0108","X",1,227,166,61,7,0,0,299,234,,
"20","001","003","0003 ","0109","X",1,241,189,52,2,0,0,300,243,,
"20","001","003","0003 ","0110","X",1,242,187,55,5,0,0,304,247,,
"20","001","003","0003 ","0111","X",1,242,188,54,0,0,0,301,242,,
"20","001","003","0003 ","0112","X",1,235,188,47,7,0,0,301,242,,
"20","001","003","0003 ","0113","X",1,246,188,58,0,0,0,301,246,,
"20","001","003","0003 ","0114","X",1,263,185,78,3,0,0,302,254,,
"20","001","003","0003 ","0115","X",1,224,174,50,4,0,0,300,228,,
"20","001","003","0003 ","0116","X",1,230,184,46,1,0,0,303,0,,
"20","001","003","0003 ","0117","X",1,144,144,0,0,0,0,301,0,,
"20","001","003","0003 ","0118","X",1,231,175,56,8,0,0,300,0,,
"20","001","003","0003 ","0119","X",1,238,176,62,0,0,0,299,238,,
"20","001","003","0003 ","0120","X",1,241,189,52,1,0,0,302,242,,
"20","001","003","0003 ","0121","X",1,233,172,61,3,0,0,299,236,,
"20","001","003","0003 ","0122","X",1,248,194,54,7,0,0,302,251,,
"20","001","003","0003 ","0123","X",1,253,187,66,2,0,0,300,255,,
"20","001","003","0003 ","0124","X",1,235,187,48,4,0,0,301,239,,
"20","001","003","0003 ","0125","X",1,238,167,71,0,0,0,300,241,,
"20","001","003","0003 ","0126","X",1,228,156,72,1,0,0,301,229,,
"20","001","003","0003 ","0127","X",1,245,185,60,3,1,0,301,249,,
"20","001","003","0003 ","0128","X",4,220,166,54,1,0,0,301,221,,
"20","001","003","0003 ","0129","X",1,248,181,67,1,0,0,301,249,,
"20","001","003","0003 ","0130","X",1,234,186,48,6,0,0,300,240,,
"20","001","003","0003 ","0131","X",1,234,164,70,5,0,0,300,243,,
"20","001","003","0003 ","0132","X",1,235,171,64,1,0,0,300,0,,
"20","001","003","0003 ","0133","X",1,205,165,40,3,0,0,299,244,,
"20","001","003","0003 ","0134","X",1,226,173,53,1,0,0,304,226,,
"20","001","003","0003 ","0135","X",1,227,171,56,4,0,0,301,231,,
"20","001","003","0003 ","0136","X",1,235,172,63,4,0,0,301,246,,
"20","001","003","0003 ","0137","X",1,246,187,59,5,0,0,300,251,,
"20","001","003","0003 ","0138","X",1,249,161,88,3,0,0,301,252,,
"20","001","003","0003 ","0139","X",1,208,159,49,3,0,0,300,221,,
"20","001","003","0003 ","0140","X",1,237,195,42,1,0,0,301,0,,
"20","001","003","0003 ","0141","X",4,316,167,149,4,0,0,302,236,,
"20","001","003","0003 ","0142","X",1,228,173,55,5,0,0,301,233,,
"20","001","003","0003 ","0143","X",1,249,180,69,1,0,0,304,0,,
"20","001","003","0003 ","0144","X",1,224,165,59,0,0,0,300,224,,
"20","001","003","0003 ","0145","X",1,244,186,58,2,0,0,303,246,,
"20","001","003","0003 ","0146","X",1,247,191,56,6,0,0,301,253,,
"20","001","003","0003 ","0147","X",1,241,172,69,3,0,0,301,244,,
"20","001","003","0003 ","0148","X",1,239,186,53,0,0,0,301,244,,
"20","001","003","0003 ","0149","X",1,229,180,49,5,0,1,300,0,,
"20","001","003","0003 ","0150","X",1,237,173,64,2,0,0,302,239,,
"20","001","003","0003 ","0151","X",1,239,178,61,0,0,0,300,241,,
"20","001","003","0003 ","0152","X",1,239,161,78,1,0,0,300,0,,
"20","001","003","0003 ","0153","X",1,229,181,48,9,0,0,301,238,,
"20","001","003","0003 ","0154","X",1,228,178,50,1,0,0,300,0,,
"20","001","003","0003 ","0155","X",1,224,165,59,5,0,0,302,229,,
"20","001","003","0003 ","0156","X",1,113,113,0,0,0,0,303,0,,
"20","001","003","0003 ","0157","X",1,229,173,56,1,0,0,301,224,,
"20","001","003","0003 ","0158","X",1,243,195,48,6,0,0,303,249,,
"20","001","003","0003 ","0159","X",1,173,112,61,0,0,0,300,233,,
"20","001","003","0003 ","0160","X",1,250,187,63,2,0,0,302,0,,
"20","001","003","0003 ","0161","X",1,227,134,93,1,0,0,299,230,,
"20","001","003","0003 ","0162","X",1,233,173,60,2,0,2,301,0,,
"20","001","003","0003 ","0163","X",1,213,147,66,2,0,3,303,0,,
"20","001","003","0003 ","0164","X",1,229,170,59,2,0,0,303,231,,
"20","001","003","0003 ","0165","X",1,236,191,45,2,0,0,302,238,,
"20","001","003","0003 ","0166","X",1,228,161,67,1,0,0,302,0,,
"20","001","003","0003 ","0167","X",1,221,158,63,0,0,1,302,0,,
"20","001","003","0003 ","0168","X",1,243,186,57,2,0,0,301,245,,
"20","001","003","0003 ","0169","X",1,244,186,58,4,0,0,301,248,,
"20","001","003","0003 ","0170","X",1,237,166,71,1,0,0,301,238,,
"20","001","003","0003 ","0171","X",1,244,180,64,0,0,0,304,244,,
"20","001","003","0003 ","0172","X",1,249,169,80,1,0,0,301,250,,
"20","001","003","0003 ","0173","X",1,241,182,59,2,0,0,300,243,,
"20","001","003","0003 ","0174","X",1,226,169,57,2,0,0,302,228,,
"20","001","003","0003 ","0175","X",1,252,186,66,3,0,0,300,255,,
"20","001","003","0003 ","0176","X",1,233,163,70,0,0,0,301,233,,
"20","001","003","0003 ","0177","X",1,237,180,57,1,0,0,300,238,,
"20","001","003","0003 ","0178","X",1,76,60,16,4,0,0,197,165,,
"20","001","003","0003 ","0179","X",1,150,103,47,1,0,0,197,153,,
"20","001","003","0004 ","0180","X",1,226,168,58,1,0,0,301,222,,
"20","001","003","0004 ","0181","X",1,208,175,33,3,0,0,302,211,,
"20","001","003","0004 ","0182","X",1,111,89,22,1,0,0,152,112,,
"20","001","003","0004 ","0183","X",1,128,96,32,0,0,0,151,126,,
"20","001","003","0004A","0184","X",1,13,13,0,0,0,0,34,0,,
"20","001","004","0006 ","0246","X",4,383,185,198,0,0,0,301,234,,
"20","001","004","0006 ","0247","X",1,226,195,31,0,0,0,303,0,,
"20","001","004","0006 ","0248","X",1,243,209,34,2,0,0,303,245,,
"20","001","004","0006 ","0249","X",1,230,195,35,0,0,0,299,0,,
"20","001","004","0006 ","0250","X",1,229,188,41,0,0,0,305,0,,
"20","001","004","0006 ","0251","X",1,232,200,32,1,0,0,306,233,,
"20","001","004","0006 ","0252","X",1,223,168,55,3,0,0,302,237,,
"20","001","004","0006 ","0253","X",1,183,155,28,9,0,0,301,236,,
"20","001","004","0006 ","0254","X",1,224,194,30,2,0,0,303,226,,
"20","001","004","0006 ","0255","X",1,227,189,38,2,0,0,305,229,,
"20","001","004","0006 ","0256","X",1,231,201,30,1,0,0,304,232,,
"20","001","004","0006 ","0257","X",1,229,174,55,7,0,0,301,0,,
"20","001","004","0006 ","0258","X",1,232,195,37,2,0,0,306,0,,
"20","001","004","0006 ","0259","X",1,224,182,42,4,0,0,302,228,,
"20","001","004","0006 ","0260","X",1,185,137,48,3,0,0,307,222,,
"20","001","004","0006 ","0261","X",1,238,192,46,5,0,0,302,237,,
"20","001","004","0006 ","0262","X",1,212,180,32,1,1,0,303,230,,
"20","001","004","0006 ","0263","X",1,234,184,50,1,0,0,305,235,,
"20","001","004","0006 ","0264","X",1,226,191,35,2,0,0,302,228,,
"20","001","004","0006 ","0265","X",1,231,183,48,2,0,0,301,233,,
"20","001","004","0006 ","0266","X",1,218,179,39,0,1,0,302,0,,
"20","001","004","0006 ","0267","X",4,244,209,35,1,0,0,301,0,,
"20","001","004","0006 ","0268","X",1,221,195,26,3,0,0,303,224,,
"20","001","004","0006 ","0269","X",1,220,187,33,5,0,0,303,225,,
"20","001","004","0006 ","0270","X",1,209,167,42,1,0,0,306,0,,
"20","001","004","0006 ","0271","X",4,320,187,133,1,0,0,304,222,,
"20","001","004","0006 ","0272","X",4,426,214,212,0,0,0,305,247,,
"20","001","004","0006 ","0273","X",1,209,179,30,10,0,0,302,231,,
"20","001","004","0006 ","0274","X",1,243,210,33,1,0,0,309,244,,
"20","001","004","0006 ","0275","X",1,232,191,41,5,0,0,304,0,,
"20","001","004","0006 ","0276","X",1,219,188,31,1,0,0,304,220,,
"20","001","004","0006 ","0277","X",1,231,198,33,6,0,0,305,237,,
"20","001","004","0006 ","0278","X",1,250,185,65,0,0,0,301,0,,
